Invoice No,Total Invoice Value
536365,120
536366,12
536367,226
536368,60
536369,15
536370,522
536371,160
536372,12
536373,224
536374,320
536375,224
536376,272
536377,12
536378,208
536380,24
536381,365
C536379,-27
536382,324
C536383,-4
536384,365
536385,103
536386,344
536387,2592
536388,152
536389,287
536390,1078
C536391,-84
536392,267
536393,72
536394,624
536395,396
536396,330
536397,240
536398,356
536399,12
536400,12
536401,271
536402,304
536403,111
536404,258
536405,256
536406,312
536407,12
536408,450
536409,169
536412,381
536414,0
536415,253
536416,180
536420,180
536423,248
536425,292
536437,620
536446,304
536460,208
536463,12
536464,176
536466,36
536477,1918
536488,132
536500,159
536502,64
536508,72
C536506,-24
536514,276
536520,204
536521,4
536522,145
536523,142
536524,48
536525,116
536526,224
536527,162
536528,232
536529,130
536530,158
536531,719
536532,1142
536533,104
536534,108
536535,131
536536,104
536537,302
536538,151
536539,396
536540,390
536541,12
536542,444
C536543,-2
536544,4874
536545,0
536546,0
536547,0
C536548,-95
536549,0
536550,0
536551,90
536552,0
536553,0
536554,0
536555,2
536556,50
536557,432
536558,95
536559,127
536560,638
536561,268
536562,255
536563,80
536564,44
536565,5
536566,93
536567,228
536568,0
536569,264
536570,268
536571,152
536572,216
536573,108
536574,15
536575,1202
536576,2090
536577,388
536578,252
536579,276
536580,72
536581,200
536582,216
536583,120
536584,768
536585,18
536586,308
536587,184
536588,199
536589,0
536590,153
536591,146
536592,6156
536593,70
536594,48
536595,298
536596,33
536597,64
536598,132
536599,248
536600,224
536601,12
536602,142
536603,12
536604,102
536605,206
C536606,-4
536607,220
536608,12
536609,210
536610,12
536611,210
536612,176
536613,113
536614,12
536615,228
536616,216
536617,844
536618,456
536619,72
536620,96
536621,178
C536622,-16
536623,440
536624,472
536626,12
C536625,-28
536627,254
536628,198
536629,12
536630,210
536631,12
536632,205
536633,136
536634,90
536635,474
536636,72
536637,132
536638,673
536639,247
536640,41
536641,4
C536642,-5
536643,169
536663,244
536667,178
536670,40
536671,36
536672,90
536673,84
536674,71
536676,173
536681,91
536685,336
536688,12
536690,294
536693,12
536698,229
536707,170
536732,172
536733,165
C536734,-23
536735,128
536736,360
C536737,-4
536738,71
536739,176
536740,57
536741,142
536742,138
536743,167
536744,276
536745,250
536746,204
536747,82
536748,96
536749,297
536750,380
536751,12
536752,342
536753,12
536754,119
536755,45
536756,48
C536757,0
C536758,-2
536759,238
C536760,-8
536761,79
536762,186
536763,276
536764,0
536765,0
536769,418
536771,96
536777,72
536778,132
536779,15
