Country,Stock Code,Quantity
Australia,22492,2916
Austria,21918,288
Bahrain,23076,96
Belgium,21212,480
Brazil,21430,24
Canada,37370,504
Channel Islands,21785,407
Cyprus,22335,384
Czech Republic,22578,72
Denmark,21915,288
EIRE,22197,1809
European Community,22571,24
Finland,84997D,552
France,23084,4023
Germany,22326,1218
Greece,21615,48
Hong Kong,22326,150
Iceland,23076,240
Israel,20719,130
Italy,51014A,240
Japan,23084,3401
Lebanon,84929,24
Lithuania,21915,48
Malta,72741,75
Netherlands,23084,4801
Norway,16008,576
Poland,21232,168
Portugal,22740,240
RSA,21889,12
Saudi Arabia,22553,12
Singapore,22339,384
Spain,84997D,1089
Sweden,22492,2916
Switzerland,22554,639
USA,23366,88
United Arab Emirates,21700,72
United Kingdom,22197,52928
Unspecified,84077,96
