Country,1-2010,1-2011,10-2010,10-2011,11-2011,12-2010,12-2011,2-2010,2-2011,3-2010,3-2011,4-2011,5-2010,5-2011,6-2010,6-2011,7-2010,7-2011,8-2010,8-2011,9-2010,9-2011
Australia,287.0,3182.0,,0.0,3884.0,271.0,804.0,,10184.0,,12974.0,-334.0,,22280.0,,23382.0,,2420.0,168.0,16156.0,,1427.0
Austria,,200.0,,726.0,927.0,244.0,412.0,,76.0,,1392.0,544.0,,798.0,,119.0,,454.0,,1732.0,,
Bahrain,,,,,,162.0,,,,,,,,-88.0,,,,,,,,374.0
Belgium,,905.0,,3824.0,3253.0,824.0,850.0,,2313.0,100.0,1983.0,2383.0,,2073.0,,2769.0,,2313.0,,1578.0,,2928.0
Brazil,,,,,,,,,,,,934.0,,,,,,,,,,
Canada,,,,,714.0,,,,,,78.0,504.0,,,,690.0,,550.0,,20.0,,
Channel Islands,,1171.0,,1406.0,160.0,,,,1767.0,,,220.0,,2124.0,,2578.0,,,,2865.0,314.0,1838.0
Cyprus,,,,3562.0,337.0,1087.0,470.0,,1028.0,,913.0,-32.0,,,,,,2107.0,,,,165.0
Czech Republic,,-39.0,,,-43.0,,,,320.0,,,,,,,,,112.0,,,,
Denmark,,,,445.0,2304.0,,,,266.0,,3521.0,,,86.0,,1248.0,,876.0,,,1034.0,4850.0
EIRE,402.0,27563.0,891.0,19145.0,20887.0,1874.0,2568.0,11.0,6250.0,1686.0,7812.0,4637.0,,15842.0,714.0,18283.0,,36942.0,,9294.0,755.0,15693.0
European Community,,,,-8.0,,,,,,,,162.0,,288.0,,45.0,,516.0,,,,
Finland,,5051.0,,1202.0,2117.0,360.0,718.0,,594.0,,775.0,2381.0,,810.0,,250.0,,1750.0,,305.0,,742.0
France,522.0,10586.0,850.0,14177.0,22239.0,1485.0,3713.0,,5865.0,298.0,11542.0,6186.0,1228.0,14408.0,,9241.0,993.0,7008.0,110.0,11454.0,1223.0,13207.0
Germany,67.0,11740.0,1724.0,14808.0,22358.0,5058.0,10421.0,51.0,5898.0,444.0,9754.0,11171.0,1622.0,11247.0,108.0,9669.0,494.0,17558.0,468.0,14072.0,662.0,10316.0
Greece,,2340.0,,,254.0,,,,,,,216.0,,,,552.0,,,,500.0,,
Hong Kong,,1844.0,,535.0,0.0,,1146.0,,,,0.0,-10.0,,1219.0,,311.0,,,,2471.0,,0.0
Iceland,,282.0,,868.0,,,,,434.0,,,,,,,,560.0,594.0,,,,274.0
Israel,,102.0,,312.0,,-200.0,,,568.0,,,77.0,,,,,,1048.0,,3331.0,,273.0
Italy,,1841.0,,3022.0,2963.0,295.0,,,246.0,355.0,900.0,530.0,,1140.0,-16.0,82.0,,396.0,,215.0,,274.0
Japan,,,,1092.0,5804.0,2365.0,,,-21.0,,,-702.0,212.0,3662.0,,112.0,,2671.0,,-41.0,2976.0,4336.0
Lebanon,,1442.0,,,,,,,,,,,,,,,,,,,,
Lithuania,,,,,,,,,,,,,1234.0,,,,,,60.0,,,
Malta,,-27.0,,,521.0,,,,,,,,,,,12.0,,,,1572.0,,
Netherlands,111.0,21148.0,,33846.0,20460.0,5807.0,10320.0,,17105.0,,15009.0,498.0,,10252.0,,13290.0,,7584.0,,7455.0,,25927.0
Norway,1142.0,500.0,,2780.0,4350.0,,1787.0,,477.0,,364.0,,,100.0,,5101.0,,628.0,1086.0,-31.0,,7555.0
Poland,,405.0,,,-14.0,,,,706.0,176.0,446.0,514.0,,2064.0,,267.0,,507.0,,264.0,,
Portugal,,2304.0,226.0,2152.0,2353.0,290.0,444.0,,1882.0,98.0,938.0,881.0,,122.0,86.0,2123.0,,2266.0,914.0,2013.0,202.0,1461.0
RSA,,,,839.0,,,,,,,,,,,,,,,,,,
Saudi Arabia,,,,,,,,,94.0,,-10.0,,,,,,,,,,,
Singapore,,1422.0,,767.0,,,,,,,,0.0,,1478.0,,,,2758.0,,,,
Spain,,459.0,,4983.0,8970.0,817.0,,,343.0,400.0,4774.0,6700.0,,1919.0,,1190.0,,3178.0,,2560.0,129.0,3769.0
Sweden,,2082.0,,2547.0,1150.0,768.0,1340.0,,290.0,,1616.0,1027.0,,112.0,,1843.0,,2154.0,,587.0,,2262.0
Switzerland,,2794.0,,7269.0,2581.0,660.0,522.0,,4089.0,230.0,995.0,1946.0,,3878.0,,5704.0,,2175.0,,1398.0,,6241.0
USA,,,,1484.0,,,-994.0,,204.0,,,299.0,,372.0,,,,,,-204.0,,
United Arab Emirates,,688.0,,,,,,,622.0,,,,,,,,,,,,,37.0
United Kingdom,42350.0,339025.0,43031.0,551875.0,837866.0,212617.0,113878.0,32507.0,322754.0,33566.0,437273.0,432931.0,18448.0,415996.0,41815.0,430275.0,30363.0,504608.0,29277.0,440658.0,34470.0,620732.0
Unspecified,,,,550.0,822.0,,,,168.0,,,,,134.0,,144.0,,528.0,,804.0,,
